((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 149), ('LinearRegression', 29.909624246922018, 0.9644841144466243, 0.04338672112706599))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 150), ('LinearRegression', 17.007959930774394, 0.8865407069883477, 0.02265861891241323))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 151), ('LinearRegression', 55.04052074751032, 0.8327321696222433, 0.07697635180326066))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 152), ('LinearRegression', 45.82708839862126, 0.9116064478906298, 0.139673316371867))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 153), ('LinearRegression', 848.4895807510061, 0.8783834174327716, 0.049035219700170475))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 154), ('LinearRegression', 72.2896585722706, 0.9177705189335126, 0.04385095647891539))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 155), ('LinearRegression', -8.43081687716289, 0.7823899394549078, 0.17177087256507131))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 156), ('LinearRegression', 20.809881426743832, 0.952950346671515, 0.02935338901877035))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 157), ('LinearRegression', 99.29335193001849, 0.8671408357991719, 0.04591281617236791))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 158), ('LinearRegression', 5.098288786739625, 0.9326168056307051, 0.062352560615694816))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 159), ('LinearRegression', 16.76775228283493, 0.6947473073332108, 0.10332391858744995))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 160), ('LinearRegression', 7.218561892285183, 0.7153303627859728, 0.025942638555729595))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 161), ('LinearRegression', -1.6460492521947176, 0.9322611494902453, 0.051610949217032666))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 162), ('LinearRegression', 43.545664513453374, 0.8743071928359315, 0.0017397485104612678))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 163), ('LinearRegression', -27.57631814657777, 0.684124000985569, 0.034410117340600246))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 164), ('LinearRegression', 9.889518250951234, 0.7466104230398161, 0.09555248157050185))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 165), ('LinearRegression', 3.243767464551082, 0.8587592415546897, 0.004404078414727141))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 166), ('LinearRegression', 51.79901584422858, 0.45832663611948926, 0.28056288724021944))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 167), ('LinearRegression', 40.94423850554604, 0.8578440337916464, 0.006463936565407008))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 168), ('LinearRegression', 24.065709192999293, 0.7918386783409523, 0.2898360095653983))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 169), ('LinearRegression', 184.1051143822345, 0.863690175225953, 0.06327705036673462))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 170), ('LinearRegression', 14.476286863447132, 0.7822819605303464, 0.009892499543166473))
