((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 20), (2.4727272745881916, 0.9888605403530262, 4.242853374744405))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 21), (2.541856256534446, 0.9931670546246114, 2.448596070501759))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 22), (0.0, 1.0, 5.5002186380316623e-14))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 1), (6.288654528009871, 0.8604673783400577, 6.297967393500693))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 2), (7.292606974497879, 0.8265629975033503, 11.742776942834405))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 3), (7.485912048158615, 0.8214843947311369, 7.46618174822307))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 4), (7.884677080616744, 0.9237210997765202, 5.36620995910962))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 5), (8.252083308954079, 0.9121657646785115, 4.304563797496902))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 6), (10.81079231887346, 0.8891093485259848, 5.527887262344739))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 7), (13.706051593200959, 0.8857086143182298, 5.650420737698911))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 8), (9.730995310076285, 0.8891058967817684, 5.106356114102719))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 9), (11.300742921506824, 0.9218574396734108, 4.125228649944565))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 10), (12.485913988693898, 0.8985671278706782, 11.071813952796447))
